timestamp,metric,value
2025-06-15,ed_visits_respiratory,212
2025-06-22,ed_visits_respiratory,191
2025-06-29,ed_visits_respiratory,190
2025-07-06,ed_visits_respiratory,206
2025-07-13,ed_visits_respiratory,212
2025-07-20,ed_visits_respiratory,200
2025-07-27,ed_visits_respiratory,185
2025-08-03,ed_visits_respiratory,184
2025-08-10,ed_visits_respiratory,183
2025-08-17,ed_visits_respiratory,179
2025-08-24,ed_visits_respiratory,202
2025-08-31,ed_visits_respiratory,214
2025-09-07,ed_visits_respiratory,201
2025-09-14,ed_visits_respiratory,174
2025-09-21,ed_visits_respiratory,200
2025-09-28,ed_visits_respiratory,202
2025-10-05,ed_visits_respiratory,233
2025-10-12,ed_visits_respiratory,192
2025-10-19,ed_visits_respiratory,211
2025-10-26,ed_visits_respiratory,246
2025-11-02,ed_visits_respiratory,239
2025-11-09,ed_visits_respiratory,253
2025-11-16,ed_visits_respiratory,260
2025-11-23,ed_visits_respiratory,280
2025-11-30,ed_visits_respiratory,307
2025-12-07,ed_visits_respiratory,297
2025-12-14,ed_visits_respiratory,348
2025-12-21,ed_visits_respiratory,319
2025-12-28,ed_visits_respiratory,370
2026-01-04,ed_visits_respiratory,377
2026-01-11,ed_visits_respiratory,365
2026-01-18,ed_visits_respiratory,379
2026-01-25,ed_visits_respiratory,360
2026-02-01,ed_visits_respiratory,341
2026-02-08,ed_visits_respiratory,343
2026-02-15,ed_visits_respiratory,311
2026-02-22,ed_visits_respiratory,321
2026-03-01,ed_visits_respiratory,275
2026-03-08,ed_visits_respiratory,289
2026-03-15,ed_visits_respiratory,242
2026-03-22,ed_visits_respiratory,238
2026-03-29,ed_visits_respiratory,225
2026-04-05,ed_visits_respiratory,242
2026-04-12,ed_visits_respiratory,221
2026-04-19,ed_visits_respiratory,209
2026-04-26,ed_visits_respiratory,214
2026-05-03,ed_visits_respiratory,179
2026-05-10,ed_visits_respiratory,202
2026-05-17,ed_visits_respiratory,226
2026-05-24,ed_visits_respiratory,203
2026-05-31,ed_visits_respiratory,201
2026-06-07,ed_visits_respiratory,207
