timestamp,route,value
2025-08-06,Red,649
2025-08-07,Red,606
2025-08-08,Red,662
2025-08-09,Red,401
2025-08-10,Red,345
2025-08-11,Red,595
2025-08-12,Red,640
2025-08-13,Red,626
2025-08-14,Red,635
2025-08-15,Red,608
2025-08-16,Red,397
2025-08-17,Red,395
2025-08-18,Red,635
2025-08-19,Red,668
2025-08-20,Red,646
2025-08-21,Red,604
2025-08-22,Red,642
2025-08-23,Red,360
2025-08-24,Red,394
2025-08-25,Red,627
2025-08-26,Red,622
2025-08-27,Red,606
2025-08-28,Red,665
2025-08-29,Red,621
2025-08-30,Red,367
2025-08-31,Red,368
2025-09-01,Red,640
2025-09-02,Red,634
2025-09-03,Red,635
2025-09-04,Red,635
2025-09-05,Red,687
2025-09-06,Red,364
2025-09-07,Red,362
2025-09-08,Red,593
2025-09-09,Red,637
2025-09-10,Red,652
2025-09-11,Red,612
2025-09-12,Red,589
2025-09-13,Red,353
2025-09-14,Red,380
2025-09-15,Red,636
2025-09-16,Red,629
2025-09-17,Red,591
2025-09-18,Red,618
2025-09-19,Red,613
2025-09-20,Red,369
2025-09-21,Red,381
2025-09-22,Red,614
2025-09-23,Red,627
2025-09-24,Red,608
2025-09-25,Red,613
2025-09-26,Red,623
2025-09-27,Red,335
2025-09-28,Red,356
2025-09-29,Red,587
2025-09-30,Red,581
2025-10-01,Red,592
2025-10-02,Red,644
2025-10-03,Red,572
2025-10-04,Red,376
2025-10-05,Red,328
2025-10-06,Red,586
2025-10-07,Red,600
2025-10-08,Red,611
2025-10-09,Red,614
2025-10-10,Red,616
2025-10-11,Red,349
2025-10-12,Red,346
2025-10-13,Red,615
2025-10-14,Red,584
2025-10-15,Red,551
2025-10-16,Red,554
2025-10-17,Red,560
2025-10-18,Red,360
2025-10-19,Red,354
2025-10-20,Red,605
2025-10-21,Red,571
2025-10-22,Red,587
2025-10-23,Red,600
2025-10-24,Red,572
2025-10-25,Red,356
2025-10-26,Red,336
2025-10-27,Red,569
2025-10-28,Red,567
2025-10-29,Red,543
2025-10-30,Red,591
2025-10-31,Red,563
2025-11-01,Red,345
2025-11-02,Red,353
2025-11-03,Red,587
2025-11-04,Red,592
2025-11-05,Red,570
2025-11-06,Red,560
2025-11-07,Red,569
2025-11-08,Red,313
2025-11-09,Red,317
2025-11-10,Red,532
2025-11-11,Red,540
2025-11-12,Red,579
2025-11-13,Red,542
2025-11-14,Red,556
2025-11-15,Red,362
2025-11-16,Red,333
2025-11-17,Red,586
2025-11-18,Red,538
2025-11-19,Red,558
2025-11-20,Red,537
2025-11-21,Red,553
2025-11-22,Red,352
2025-11-23,Red,308
2025-11-24,Red,574
2025-11-25,Red,568
2025-11-26,Red,544
2025-11-27,Red,520
2025-11-28,Red,562
2025-11-29,Red,327
2025-11-30,Red,339
2025-12-01,Red,559
2025-12-02,Red,603
2025-12-03,Red,551
2025-12-04,Red,529
2025-12-05,Red,562
2025-12-06,Red,337
2025-12-07,Red,356
2025-12-08,Red,579
2025-12-09,Red,565
2025-12-10,Red,596
2025-12-11,Red,522
2025-12-12,Red,537
2025-12-13,Red,317
2025-12-14,Red,326
2025-12-15,Red,516
2025-12-16,Red,571
2025-12-17,Red,547
2025-12-18,Red,513
2025-12-19,Red,525
2025-12-20,Red,337
2025-12-21,Red,346
2025-12-22,Red,608
2025-12-23,Red,633
2025-12-24,Red,564
2025-12-25,Red,525
2025-12-26,Red,493
2025-12-27,Red,336
2025-12-28,Red,318
2025-12-29,Red,541
2025-12-30,Red,535
2025-12-31,Red,548
2026-01-01,Red,581
2026-01-02,Red,556
2026-01-03,Red,329
2026-01-04,Red,314
2026-01-05,Red,506
2026-01-06,Red,539
2026-01-07,Red,551
2026-01-08,Red,601
2026-01-09,Red,556
2026-01-10,Red,348
2026-01-11,Red,323
2026-01-12,Red,520
2026-01-13,Red,527
2026-01-14,Red,533
2026-01-15,Red,613
2026-01-16,Red,531
2026-01-17,Red,346
2026-01-18,Red,318
2026-01-19,Red,580
2026-01-20,Red,565
2026-01-21,Red,551
2026-01-22,Red,554
2026-01-23,Red,538
2026-01-24,Red,341
2026-01-25,Red,326
2026-01-26,Red,523
2026-01-27,Red,521
2026-01-28,Red,562
2026-01-29,Red,602
2026-01-30,Red,563
2026-01-31,Red,333
2026-02-01,Red,340
2026-02-02,Red,596
2026-02-03,Red,566
2026-02-04,Red,549
2026-02-05,Red,592
2026-02-06,Red,573
2026-02-07,Red,363
