timestamp,route,value
2025-08-06,Red,22
2025-08-07,Red,19
2025-08-08,Red,18
2025-08-09,Red,13
2025-08-10,Red,13
2025-08-11,Red,20
2025-08-12,Red,17
2025-08-13,Red,17
2025-08-14,Red,17
2025-08-15,Red,16
2025-08-16,Red,12
2025-08-17,Red,13
2025-08-18,Red,20
2025-08-19,Red,15
2025-08-20,Red,20
2025-08-21,Red,20
2025-08-22,Red,24
2025-08-23,Red,10
2025-08-24,Red,12
2025-08-25,Red,23
2025-08-26,Red,21
2025-08-27,Red,21
2025-08-28,Red,20
2025-08-29,Red,21
2025-08-30,Red,13
2025-08-31,Red,11
2025-09-01,Red,22
2025-09-02,Red,17
2025-09-03,Red,21
2025-09-04,Red,20
2025-09-05,Red,19
2025-09-06,Red,12
2025-09-07,Red,11
2025-09-08,Red,18
2025-09-09,Red,19
2025-09-10,Red,18
2025-09-11,Red,21
2025-09-12,Red,18
2025-09-13,Red,13
2025-09-14,Red,11
2025-09-15,Red,19
2025-09-16,Red,19
2025-09-17,Red,23
2025-09-18,Red,21
2025-09-19,Red,20
2025-09-20,Red,13
2025-09-21,Red,9
2025-09-22,Red,20
2025-09-23,Red,24
2025-09-24,Red,20
2025-09-25,Red,20
2025-09-26,Red,21
2025-09-27,Red,13
2025-09-28,Red,10
2025-09-29,Red,17
2025-09-30,Red,20
2025-10-01,Red,19
2025-10-02,Red,23
2025-10-03,Red,19
2025-10-04,Red,10
2025-10-05,Red,10
2025-10-06,Red,15
2025-10-07,Red,20
2025-10-08,Red,20
2025-10-09,Red,19
2025-10-10,Red,22
2025-10-11,Red,13
2025-10-12,Red,12
2025-10-13,Red,16
2025-10-14,Red,21
2025-10-15,Red,21
2025-10-16,Red,21
2025-10-17,Red,22
2025-10-18,Red,11
2025-10-19,Red,14
2025-10-20,Red,18
2025-10-21,Red,21
2025-10-22,Red,17
2025-10-23,Red,18
2025-10-24,Red,23
2025-10-25,Red,12
2025-10-26,Red,13
2025-10-27,Red,20
2025-10-28,Red,20
2025-10-29,Red,23
2025-10-30,Red,20
2025-10-31,Red,16
2025-11-01,Red,11
2025-11-02,Red,13
2025-11-03,Red,21
2025-11-04,Red,17
2025-11-05,Red,19
2025-11-06,Red,19
2025-11-07,Red,19
2025-11-08,Red,10
2025-11-09,Red,11
2025-11-10,Red,19
2025-11-11,Red,22
2025-11-12,Red,22
2025-11-13,Red,20
2025-11-14,Red,19
2025-11-15,Red,12
2025-11-16,Red,11
2025-11-17,Red,18
2025-11-18,Red,18
2025-11-19,Red,19
2025-11-20,Red,18
2025-11-21,Red,20
2025-11-22,Red,13
2025-11-23,Red,10
2025-11-24,Red,20
2025-11-25,Red,20
2025-11-26,Red,21
2025-11-27,Red,20
2025-11-28,Red,17
2025-11-29,Red,10
2025-11-30,Red,12
2025-12-01,Red,22
2025-12-02,Red,16
2025-12-03,Red,21
2025-12-04,Red,22
2025-12-05,Red,20
2025-12-06,Red,13
2025-12-07,Red,11
2025-12-08,Red,20
2025-12-09,Red,17
2025-12-10,Red,15
2025-12-11,Red,22
2025-12-12,Red,18
2025-12-13,Red,11
2025-12-14,Red,10
2025-12-15,Red,17
2025-12-16,Red,20
2025-12-17,Red,19
2025-12-18,Red,21
2025-12-19,Red,21
2025-12-20,Red,12
2025-12-21,Red,12
2025-12-22,Red,23
2025-12-23,Red,18
2025-12-24,Red,20
2025-12-25,Red,22
2025-12-26,Red,23
2025-12-27,Red,10
2025-12-28,Red,12
2025-12-29,Red,23
2025-12-30,Red,21
2025-12-31,Red,20
2026-01-01,Red,20
2026-01-02,Red,19
2026-01-03,Red,12
2026-01-04,Red,12
2026-01-05,Red,20
2026-01-06,Red,20
2026-01-07,Red,19
2026-01-08,Red,21
2026-01-09,Red,26
2026-01-10,Red,10
2026-01-11,Red,12
2026-01-12,Red,18
2026-01-13,Red,21
2026-01-14,Red,20
2026-01-15,Red,22
2026-01-16,Red,22
2026-01-17,Red,12
2026-01-18,Red,13
2026-01-19,Red,15
2026-01-20,Red,23
2026-01-21,Red,21
2026-01-22,Red,22
2026-01-23,Red,18
2026-01-24,Red,11
2026-01-25,Red,12
2026-01-26,Red,20
2026-01-27,Red,21
2026-01-28,Red,22
2026-01-29,Red,16
2026-01-30,Red,22
2026-01-31,Red,12
2026-02-01,Red,12
2026-02-02,Red,17
2026-02-03,Red,21
2026-02-04,Red,15
2026-02-05,Red,21
2026-02-06,Red,17
2026-02-07,Red,12
2026-02-08,Red,12
2026-02-09,Red,22
2026-02-10,Red,20
2026-02-11,Red,19
2026-02-12,Red,19
2026-02-13,Red,23
2026-02-14,Red,13
2026-02-15,Red,12
2026-02-16,Red,20
2026-02-17,Red,17
2026-02-18,Red,21
2026-02-19,Red,16
2026-02-20,Red,22
2026-02-21,Red,12
2026-02-22,Red,15
2026-02-23,Red,18
2026-02-24,Red,20
2026-02-25,Red,24
2026-02-26,Red,22
2026-02-27,Red,19
2026-02-28,Red,12
2026-03-01,Red,12
2026-03-02,Red,21
2026-03-03,Red,19
2026-03-04,Red,20
2026-03-05,Red,17
2026-03-06,Red,20
2026-03-07,Red,13
2026-03-08,Red,12
2026-03-09,Red,17
2026-03-10,Red,22
2026-03-11,Red,21
2026-03-12,Red,19
2026-03-13,Red,19
2026-03-14,Red,10
2026-03-15,Red,11
2026-03-16,Red,19
2026-03-17,Red,22
2026-03-18,Red,19
2026-03-19,Red,21
2026-03-20,Red,19
2026-03-21,Red,12
2026-03-22,Red,12
2026-03-23,Red,22
2026-03-24,Red,19
2026-03-25,Red,17
2026-03-26,Red,17
2026-03-27,Red,19
2026-03-28,Red,11
2026-03-29,Red,12
2026-03-30,Red,19
2026-03-31,Red,25
2026-04-01,Red,17
2026-04-02,Red,20
2026-04-03,Red,18
2026-04-04,Red,11
2026-04-05,Red,12
2026-04-06,Red,15
2026-04-07,Red,20
2026-04-08,Red,24
2026-04-09,Red,19
2026-04-10,Red,21
2026-04-11,Red,13
2026-04-12,Red,12
2026-04-13,Red,19
2026-04-14,Red,15
2026-04-15,Red,21
2026-04-16,Red,20
2026-04-17,Red,18
2026-04-18,Red,12
2026-04-19,Red,11
2026-04-20,Red,19
2026-04-21,Red,21
2026-04-22,Red,17
2026-04-23,Red,22
2026-04-24,Red,17
2026-04-25,Red,11
2026-04-26,Red,14
2026-04-27,Red,22
2026-04-28,Red,20
2026-04-29,Red,18
2026-04-30,Red,19
2026-05-01,Red,20
2026-05-02,Red,12
2026-05-03,Red,12
2026-05-04,Red,20
2026-05-05,Red,20
2026-05-06,Red,17
2026-05-07,Red,19
2026-05-08,Red,22
2026-05-09,Red,10
2026-05-10,Red,12
2026-05-11,Red,18
2026-05-12,Red,20
2026-05-13,Red,19
2026-05-14,Red,23
2026-05-15,Red,21
2026-05-16,Red,10
2026-05-17,Red,13
2026-05-18,Red,18
2026-05-19,Red,19
2026-05-20,Red,21
2026-05-21,Red,19
