timestamp,pathogen,value,source
2025-06-22,SARS-CoV-2,4.0,sample
2025-06-29,SARS-CoV-2,4.48,sample
2025-07-06,SARS-CoV-2,4.81,sample
2025-07-13,SARS-CoV-2,4.87,sample
2025-07-20,SARS-CoV-2,4.9,sample
2025-07-27,SARS-CoV-2,4.74,sample
2025-08-03,SARS-CoV-2,4.92,sample
2025-08-10,SARS-CoV-2,4.26,sample
2025-08-17,SARS-CoV-2,4.0,sample
2025-08-24,SARS-CoV-2,3.52,sample
2025-08-31,SARS-CoV-2,3.39,sample
2025-09-07,SARS-CoV-2,2.67,sample
2025-09-14,SARS-CoV-2,2.86,sample
2025-09-21,SARS-CoV-2,2.59,sample
2025-09-28,SARS-CoV-2,2.88,sample
2025-10-05,SARS-CoV-2,2.97,sample
2025-10-12,SARS-CoV-2,3.0,sample
2025-10-19,SARS-CoV-2,3.64,sample
2025-10-26,SARS-CoV-2,4.04,sample
2025-11-02,SARS-CoV-2,4.42,sample
2025-11-09,SARS-CoV-2,4.98,sample
2025-11-16,SARS-CoV-2,5.6,sample
2025-11-23,SARS-CoV-2,6.48,sample
2025-11-30,SARS-CoV-2,6.56,sample
2025-12-07,SARS-CoV-2,7.5,sample
2025-12-14,SARS-CoV-2,7.52,sample
2025-12-21,SARS-CoV-2,8.33,sample
2025-12-28,SARS-CoV-2,7.88,sample
2026-01-04,SARS-CoV-2,7.72,sample
2026-01-11,SARS-CoV-2,7.42,sample
2026-01-18,SARS-CoV-2,7.57,sample
2026-01-25,SARS-CoV-2,6.92,sample
2026-02-01,SARS-CoV-2,7.21,sample
2026-02-08,SARS-CoV-2,5.93,sample
2026-02-15,SARS-CoV-2,5.44,sample
2026-02-22,SARS-CoV-2,5.23,sample
2026-03-01,SARS-CoV-2,4.81,sample
2026-03-08,SARS-CoV-2,4.19,sample
2026-03-15,SARS-CoV-2,3.8,sample
2026-03-22,SARS-CoV-2,3.22,sample
2026-03-29,SARS-CoV-2,2.92,sample
2026-04-05,SARS-CoV-2,2.95,sample
2026-04-12,SARS-CoV-2,2.71,sample
2026-04-19,SARS-CoV-2,2.45,sample
2026-04-26,SARS-CoV-2,2.42,sample
2026-05-03,SARS-CoV-2,2.36,sample
2026-05-10,SARS-CoV-2,2.16,sample
2026-05-17,SARS-CoV-2,2.39,sample
2026-05-24,SARS-CoV-2,2.76,sample
2026-05-31,SARS-CoV-2,2.91,sample
2026-06-07,SARS-CoV-2,3.13,sample
2026-06-14,SARS-CoV-2,3.79,sample
2025-06-22,Influenza A,2.04,sample
2025-06-29,Influenza A,2.08,sample
2025-07-06,Influenza A,2.04,sample
2025-07-13,Influenza A,2.05,sample
2025-07-20,Influenza A,2.06,sample
2025-07-27,Influenza A,2.13,sample
2025-08-03,Influenza A,2.14,sample
2025-08-10,Influenza A,1.95,sample
2025-08-17,Influenza A,2.04,sample
2025-08-24,Influenza A,2.13,sample
2025-08-31,Influenza A,1.99,sample
2025-09-07,Influenza A,1.87,sample
2025-09-14,Influenza A,1.91,sample
2025-09-21,Influenza A,1.92,sample
2025-09-28,Influenza A,1.96,sample
2025-10-05,Influenza A,1.94,sample
2025-10-12,Influenza A,2.14,sample
2025-10-19,Influenza A,2.05,sample
2025-10-26,Influenza A,2.3,sample
2025-11-02,Influenza A,2.2,sample
2025-11-09,Influenza A,2.59,sample
2025-11-16,Influenza A,3.12,sample
2025-11-23,Influenza A,3.93,sample
2025-11-30,Influenza A,4.91,sample
2025-12-07,Influenza A,5.49,sample
2025-12-14,Influenza A,6.96,sample
2025-12-21,Influenza A,6.82,sample
2025-12-28,Influenza A,8.27,sample
2026-01-04,Influenza A,7.42,sample
2026-01-11,Influenza A,7.71,sample
2026-01-18,Influenza A,7.14,sample
2026-01-25,Influenza A,6.04,sample
2026-02-01,Influenza A,4.39,sample
2026-02-08,Influenza A,3.8,sample
2026-02-15,Influenza A,3.3,sample
2026-02-22,Influenza A,2.78,sample
2026-03-01,Influenza A,2.4,sample
2026-03-08,Influenza A,1.94,sample
2026-03-15,Influenza A,2.21,sample
2026-03-22,Influenza A,2.18,sample
2026-03-29,Influenza A,2.03,sample
2026-04-05,Influenza A,2.03,sample
2026-04-12,Influenza A,2.05,sample
2026-04-19,Influenza A,2.15,sample
2026-04-26,Influenza A,2.03,sample
2026-05-03,Influenza A,1.98,sample
2026-05-10,Influenza A,2.04,sample
2026-05-17,Influenza A,2.0,sample
2026-05-24,Influenza A,2.0,sample
2026-05-31,Influenza A,1.82,sample
2026-06-07,Influenza A,2.05,sample
2026-06-14,Influenza A,2.12,sample
